q1,q2,thresh,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
50,60,0.5,13,7,7,11,19,31,73,49,7,7,29,15,21,45,45,37,7,11,13,19,31,45,38,38,7,13,15,23,41,59,63,23,9,17,25,45,53,57,11,13,19,27,43,51,23,48,27,11,39,46,45,34,1,1,1,1,57,1,17,1,1,1,1,1
50,60,0.6,11,5,7,9,19,31,73,37,5,7,15,11,21,45,45,37,7,7,11,19,31,45,38,38,7,13,13,23,41,59,63,23,9,17,21,45,53,57,11,13,19,27,37,51,23,48,27,11,39,46,45,34,1,1,1,1,45,1,17,1,1,1,1,1
50,60,0.7,5,5,7,7,19,23,65,31,5,5,11,9,21,45,45,37,5,7,9,15,31,45,23,38,5,9,11,23,41,51,63,23,7,17,17,45,53,57,11,13,19,27,29,51,23,48,27,11,39,46,45,34,1,1,1,1,35,1,17,1,1,1,1,1
50,60,0.8,3,3,5,5,17,17,39,23,3,5,9,7,15,45,29,37,5,5,7,11,31,31,21,38,5,7,9,15,35,33,63,23,5,15,13,33,53,57,11,13,13,21,23,33,23,48,27,11,27,46,33,34,1,1,1,1,27,1,17,1,1,1,1,1
50,60,0.9,3,3,3,3,9,11,17,15,3,3,5,5,9,25,15,19,3,3,5,7,17,19,19,23,3,5,5,9,19,19,37,11,3,7,9,19,31,41,11,13,7,13,15,21,23,33,21,11,17,23,21,21,1,1,1,1,19,1,13,1,1,1,1,1
55,0,0.5,13,7,9,11,21,35,45,37,7,7,13,17,19,51,53,49,9,9,11,21,35,45,55,38,9,13,13,25,45,77,63,45,11,19,33,49,61,79,24,42,21,31,49,57,64,59,42,17,43,53,55,40,17,1,1,11,65,59,37,1,1,1,1,1
55,0,0.6,11,7,9,9,21,27,45,33,7,7,13,17,15,51,53,49,7,7,9,21,35,37,45,38,7,11,13,25,43,77,63,45,9,19,33,49,61,79,24,42,21,31,49,57,64,59,42,17,43,53,55,40,17,1,1,11,65,59,37,1,1,1,1,1
55,0,0.7,11,5,9,7,21,21,35,27,5,5,9,17,13,51,53,49,7,7,7,21,35,31,37,38,5,9,11,25,31,57,63,45,7,19,23,39,61,79,24,42,21,31,37,43,64,59,42,17,43,53,55,27,17,1,1,11,65,59,37,1,1,1,1,1
55,0,0.8,3,5,7,5,19,17,25,23,5,5,7,11,11,51,41,49,5,5,5,17,35,23,29,38,5,7,7,23,23,41,63,35,5,19,17,29,39,75,24,42,15,23,27,31,53,59,42,17,25,53,55,25,17,1,1,11,49,59,37,1,1,1,1,1
55,0,0.9,1,3,3,3,9,11,17,15,3,3,5,7,7,27,23,27,3,3,3,9,17,15,19,17,3,5,5,13,15,27,35,21,5,9,11,19,25,27,23,29,9,13,17,21,31,43,27,13,15,25,33,25,17,1,1,11,27,25,21,1,1,1,1,1
55,65,0.5,11,7,7,17,39,23,45,29,5,7,19,13,17,41,41,39,7,7,7,17,27,39,47,34,7,9,11,19,35,61,55,37,9,15,25,39,47,54,19,25,17,25,39,45,42,45,19,14,33,37,46,31,13,1,1,9,49,26,17,1,1,1,1,1
55,65,0.6,7,5,7,9,39,19,45,25,5,5,9,13,13,41,41,39,5,5,7,17,27,35,47,34,5,7,9,19,35,61,55,37,7,15,21,39,47,54,19,25,17,25,39,45,42,45,19,14,33,37,46,31,13,1,1,9,49,26,17,1,1,1,1,1
55,65,0.7,7,5,7,5,29,15,31,21,3,5,7,13,11,41,41,39,5,5,5,17,27,27,33,34,5,7,9,19,27,51,55,37,7,15,17,39,47,54,19,25,17,25,39,45,42,45,19,14,27,37,46,31,13,1,1,9,49,26,17,1,1,1,1,1
55,65,0.8,1,3,7,5,17,13,21,17,3,3,5,9,9,41,41,39,3,3,5,11,27,21,25,34,3,5,7,19,21,35,55,31,5,9,13,27,47,54,19,25,11,25,25,29,42,45,19,14,19,37,46,19,13,1,1,9,37,26,17,1,1,1,1,1
55,65,0.9,1,3,3,3,9,9,15,11,3,3,3,5,5,23,21,21,3,3,3,7,15,15,17,19,3,3,5,11,13,23,31,15,3,7,9,17,25,33,13,17,7,13,15,19,21,25,19,11,13,23,21,19,13,1,1,9,21,23,15,1,1,1,1,1
60,0,0.5,13,7,7,11,19,31,41,33,7,7,11,15,15,45,47,43,11,9,9,19,31,35,43,44,7,11,13,23,41,69,49,43,9,17,25,35,53,52,31,25,19,27,43,51,60,69,30,26,39,48,51,32,17,1,1,7,57,73,30,1,1,1,1,1
60,0,0.6,11,7,7,9,19,27,41,29,5,5,11,15,13,45,47,43,9,7,7,19,31,29,37,44,7,9,11,23,41,57,49,43,7,17,21,29,53,52,31,25,19,23,43,51,60,69,30,26,39,48,51,32,17,1,1,7,57,73,30,1,1,1,1,1
60,0,0.7,7,5,7,7,19,21,41,25,5,5,7,15,11,45,47,43,7,5,7,19,31,25,31,44,5,7,9,23,31,45,49,43,7,17,17,25,53,52,31,25,19,19,43,51,60,69,30,26,27,48,51,23,17,1,1,7,57,73,30,1,1,1,1,1
60,0,0.8,3,3,7,5,15,17,35,19,3,5,5,13,9,45,47,43,5,5,5,19,31,19,23,44,5,7,7,19,23,35,49,27,5,11,13,19,53,52,31,25,13,13,29,41,57,69,30,26,19,35,51,23,17,1,1,7,35,73,30,1,1,1,1,1
60,0,0.9,1,3,3,3,9,11,19,13,3,3,3,7,7,23,25,23,3,3,3,9,15,13,17,23,3,5,5,11,15,23,25,19,3,7,9,13,27,43,31,23,7,9,17,23,31,29,23,21,13,21,25,23,11,1,1,7,21,37,19,1,1,1,1,1
60,70,0.5,9,5,5,21,19,21,31,25,5,5,11,11,13,35,35,33,7,7,13,13,23,33,41,33,5,11,9,17,31,51,35,33,7,13,17,33,41,37,39,11,13,21,33,37,40,48,13,17,29,35,40,28,19,1,1,7,43,41,17,1,1,1,1,1
60,70,0.6,9,5,5,7,19,17,31,21,5,5,7,11,11,35,35,33,7,7,5,13,23,27,35,33,5,7,9,17,31,51,35,33,7,13,15,33,41,37,39,11,13,21,33,37,40,48,13,17,29,35,40,28,19,1,1,7,43,41,17,1,1,1,1,1
60,70,0.7,7,3,5,7,15,13,31,19,3,3,5,11,9,35,35,33,5,5,5,13,23,21,27,33,3,5,7,17,31,37,35,33,5,13,13,25,41,37,39,11,13,17,33,37,40,48,13,17,29,35,40,28,19,1,1,7,43,41,17,1,1,1,1,1
60,70,0.8,3,3,5,5,13,11,27,15,3,3,5,11,7,35,35,33,3,5,5,11,23,17,21,33,3,5,5,13,21,27,31,23,5,9,9,19,41,37,39,11,11,13,23,37,40,48,13,17,19,33,40,19,19,1,1,7,39,41,17,1,1,1,1,1
60,70,0.9,1,3,3,3,7,7,15,11,1,1,3,5,5,21,19,17,3,3,3,7,13,11,15,19,3,3,3,7,13,19,17,11,3,5,7,13,23,31,35,11,7,9,15,19,19,25,13,13,11,17,21,19,13,1,1,7,19,31,17,1,1,1,1,1
65,0,0.5,11,5,7,9,19,19,35,33,5,5,9,13,17,41,41,39,9,9,7,17,27,39,47,39,7,11,11,19,35,57,49,43,9,15,25,29,47,67,71,37,17,19,39,45,55,56,29,30,33,45,49,45,48,21,13,11,49,44,19,20,14,26,1,1
65,0,0.6,7,5,7,7,17,17,35,27,5,5,9,13,17,41,41,39,9,7,7,17,27,39,47,39,5,9,9,19,35,45,49,35,7,15,19,25,47,67,71,37,17,17,39,45,55,56,29,30,33,45,49,45,48,21,13,11,49,44,19,20,14,26,1,1
65,0,0.7,7,5,7,7,17,15,35,23,3,5,7,13,13,41,41,39,7,5,5,17,27,35,33,39,5,7,7,15,35,37,49,27,7,15,15,21,47,67,71,37,17,13,39,45,55,56,29,30,33,45,49,45,48,21,13,11,49,44,19,20,14,26,1,1
65,0,0.8,1,3,5,5,17,11,35,19,3,3,5,9,9,39,41,39,5,5,5,13,21,23,25,39,3,5,7,11,23,29,49,21,5,11,13,17,47,49,71,35,13,11,39,43,53,45,29,30,23,45,41,29,37,21,13,11,39,44,19,20,14,26,1,1
65,0,0.9,1,3,3,3,9,7,17,13,3,3,3,5,7,19,21,21,3,3,3,7,13,15,17,19,3,3,5,7,15,19,23,15,3,7,9,11,25,29,41,21,7,7,21,23,25,25,23,23,13,23,23,21,23,11,13,11,21,33,17,17,11,15,1,1
65,75,0.5,7,5,5,17,35,15,25,23,3,5,9,29,13,29,29,27,7,7,9,11,19,29,35,27,5,9,7,15,25,43,35,31,9,11,19,27,33,55,45,15,11,17,27,31,34,39,16,16,25,31,33,35,33,15,9,8,35,35,11,9,8,10,1,1
65,75,0.6,5,3,5,5,23,13,25,21,3,3,5,19,13,29,29,27,7,7,5,11,19,29,35,27,5,7,7,15,25,43,35,31,7,11,15,23,33,55,45,15,11,15,27,31,34,39,16,16,25,31,33,35,33,15,9,8,35,35,11,9,8,10,1,1
65,75,0.7,5,3,5,5,11,11,25,17,3,3,5,9,9,29,29,27,5,5,5,11,19,29,31,27,3,5,5,11,25,33,35,29,5,11,11,19,33,55,45,15,11,11,27,31,34,39,16,16,25,31,33,35,33,15,9,8,35,35,11,9,8,10,1,1
65,75,0.8,3,3,5,3,11,9,25,13,3,3,3,7,7,29,29,27,3,3,3,9,19,21,21,27,3,5,5,9,19,25,35,19,5,9,9,15,33,45,45,15,9,9,27,31,34,39,16,16,25,31,33,35,33,15,9,8,25,35,11,9,8,10,1,1
65,75,0.9,3,1,3,3,7,5,13,9,1,1,3,5,5,15,15,15,3,3,3,5,11,13,13,15,1,3,3,5,11,17,21,13,3,5,7,9,19,27,27,15,5,7,15,17,17,21,15,13,13,17,17,21,17,15,9,7,15,17,11,9,7,9,1,1
70,0,0.5,9,5,5,9,13,19,31,25,5,5,7,11,15,35,35,33,7,7,7,13,23,33,41,33,5,7,11,17,31,39,45,37,11,13,21,27,41,56,53,45,13,15,33,37,42,61,30,27,29,37,44,51,40,15,18,11,43,43,37,40,11,28,1,1
70,0,0.6,9,5,5,7,13,15,31,23,5,5,7,11,15,35,35,33,7,5,5,13,23,27,41,33,5,7,9,17,23,33,45,35,9,13,21,23,41,56,53,45,13,13,33,37,42,61,30,27,29,37,44,51,40,15,18,11,43,43,37,40,11,28,1,1
70,0,0.7,7,3,5,7,13,13,31,19,3,3,7,9,15,35,35,33,5,5,5,13,23,21,37,33,5,5,7,13,19,29,45,25,7,9,15,19,41,56,53,45,13,11,33,37,42,61,30,27,29,37,44,37,40,15,18,11,43,43,37,40,11,28,1,1
70,0,0.8,3,3,5,5,13,11,23,15,3,3,5,7,11,31,29,27,5,3,5,11,23,17,25,33,3,5,5,9,15,23,45,19,5,7,11,15,29,37,53,45,9,9,33,27,33,57,30,27,21,37,33,27,31,15,18,11,27,43,27,40,11,19,1,1
70,0,0.9,1,1,3,3,7,7,13,11,1,1,3,5,7,17,15,15,3,3,3,7,11,11,15,17,3,3,5,7,11,15,23,13,3,5,7,11,17,27,29,23,5,5,17,17,21,31,27,27,13,19,19,19,13,11,15,11,17,27,15,23,11,19,1,1
